Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),64.55,0.00,202.61,,,,,,63.03,,87.05,92.10,98.79,15.42
Active Decode Throughput Per User (tokens/sec/user),64.55,0.00,202.61,,,,,,63.03,,87.05,92.10,98.79,15.42
Active Prefill Throughput (tokens/sec),3292.06,3281.88,3307.89,,,,,,3288.74,,3303.10,3307.89,3307.89,7.60
Active Prefill Throughput Per User (tokens/sec/user),3292.06,3281.88,3307.89,,,,,,3288.74,,3303.10,3307.89,3307.89,7.60
Active Total Throughput (tokens/sec),2507.25,60.82,3307.89,,,,,,3288.09,,3303.10,3307.89,3307.89,1384.59
Credit-to-Start Latency (ms),1.75,0.97,2.87,17.46,1.01,1.18,1.40,1.46,1.54,1.94,2.36,2.62,2.82,0.51
Decode Duration (ms),1951.70,1808.43,2071.29,19516.96,1811.27,1822.61,1836.79,1868.57,1965.28,2040.59,2050.33,2060.81,2069.19,92.75
E2E Output Token Throughput (tokens/sec/user),15.82,15.57,16.11,158.24,15.57,15.59,15.62,15.63,15.81,16.01,16.03,16.07,16.10,0.19
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.24,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.43
Effective Decode Throughput (tokens/sec),15.69,0.00,202.61,,,,,,0.00,,66.91,77.36,93.30,28.71
Effective Decode Throughput Per User (tokens/sec/user),15.69,0.00,202.61,,,,,,0.00,,66.91,77.36,93.30,28.71
Effective Latency (CO-aware) (ms),8028.87,7885.87,8159.38,80288.67,7889.65,7904.75,7923.62,7934.81,8035.85,8124.97,8132.80,8146.09,8156.72,96.67
Effective Prefill Concurrency,0.76,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.43
Effective Prefill Throughput (tokens/sec),2490.70,0.00,3307.89,,,,,,3288.09,,3303.10,3307.89,3307.89,1412.79
Effective Prefill Throughput Per User (tokens/sec/user),2490.70,0.00,3307.89,,,,,,3288.09,,3303.10,3307.89,3307.89,1412.79
Effective Total Throughput (tokens/sec),2506.39,0.00,3307.89,,,,,,3288.09,,3303.10,3307.89,3307.89,1385.13
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.00,130.00,130.00,1300.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.21,0.00,2.09,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.15,1.90,0.63
HTTP Connection Overhead (ms),0.36,0.00,3.59,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.97,3.27,1.08
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),27.04,26.99,27.08,270.42,26.99,27.01,27.03,27.03,27.05,27.05,27.06,27.07,27.08,0.02
HTTP Data Sent (KB),85.34,81.59,88.62,853.45,81.84,82.84,84.10,84.52,85.46,85.87,87.36,87.99,88.49,1.76
HTTP DNS Lookup (ms),0.15,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.83,1.37,0.45
HTTP Duration (excl. conn) (ms),8027.07,7883.86,8157.76,80270.69,7887.60,7902.56,7921.25,7933.67,8033.64,8123.43,8130.88,8144.32,8155.08,96.69
HTTP Receiving (ms),8023.74,7880.91,8154.26,80237.41,7884.38,7898.27,7915.63,7931.43,8029.37,8120.94,8128.20,8141.23,8151.66,96.90
HTTP Sending (ms),0.35,0.10,2.34,3.50,0.10,0.11,0.11,0.12,0.14,0.14,0.36,1.35,2.14,0.66
HTTP Total Time (ms),8027.43,7883.86,8157.76,80274.28,7887.93,7904.17,7924.48,7933.67,8033.64,8123.43,8130.88,8144.32,8155.08,96.32
HTTP Waiting (TTFB) (ms),2.98,1.64,4.57,29.78,1.69,1.90,2.17,2.48,2.82,3.54,3.78,4.18,4.49,0.80
Input Sequence Length (tokens),20000.00,20000.00,20000.00,200000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,0.00
Inter Chunk Latency (ms),15.49,9.58,37.70,19516.96,10.02,10.65,11.12,12.54,14.87,17.59,20.34,22.52,28.51,3.93
Inter Token Latency (ms),15.49,14.35,16.44,154.90,14.38,14.47,14.58,14.83,15.60,16.20,16.27,16.36,16.42,0.74
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),64.71,60.83,69.67,647.07,60.89,61.14,61.45,61.75,64.13,67.43,68.60,69.14,69.57,3.11
Prefill Throughput Per User (tokens/sec/user),3292.07,3281.88,3307.89,32920.73,3282.26,3283.79,3285.69,3287.65,3289.14,3294.84,3303.58,3305.74,3307.46,7.61
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),8026.93,7883.59,8157.51,80269.28,7887.33,7902.28,7920.97,7933.63,8033.42,8123.41,8130.83,8144.17,8154.84,96.73
Time to First Token (ms),6075.23,6046.15,6094.07,60752.32,6046.94,6050.09,6054.04,6070.10,6080.61,6083.37,6087.00,6090.53,6093.36,14.01
Time to Second Token (ms),30.82,25.39,37.70,308.24,25.52,26.02,26.65,27.69,30.73,32.62,36.65,37.18,37.60,3.86
