Sep 12 15:22:10 <host> systemd[1]: Started freetoken-bench.service - FreeToken — nvidia/Qwen3.8-Flash-Next-NVFP4 (128k max-decode).
Sep 12 15:22:12 <host> ft[311364]: [2026-09-12|15:22:12] INFO     Parsed arguments:
Sep 12 15:22:12 <host> ft[311364]: ServerArgs(model_path='/home/user/models/qwen/Qwen3.8-Flash-Next-NVFP4', tp_info=DistributedInfo(rank=0, size=1), dtype=torch.bfloat16, max_running_req=1, attention_backend='qsa_sparse', moe_strategy='offload', quant_backend='moe.nvfp4=triton', ple_backend='pinned', expert_load='auto', moe_cache_size=0, moe_cache_rate=None, moe_cache_auto=True, kv_reserve_tokens=262144, moe_cache_policy='lru', moe_prefill_overlap=True, moe_prefill_hit_d2d=False, moe_collect_stats=False, moe_cpu_threads=0, moe_cpu_layers=None, moe_hybrid_max_fetch=-1, cuda_graph_bs=None, cuda_graph_max_bs=1, page_size=1, memory_ratio=0.93, linear_state_cache_ratio=2.0, swa_full_tokens_ratio=0.2, swa_num_pages_override=None, distributed_timeout=60.0, use_dummy_weight=False, use_pynccl=True, max_seq_len_override=262144, num_page_override=None, num_token_override=262144, max_extend_tokens=8192, cache_type='radix', offline_mode=False, decode_log_interval=40, special_token_ckpt=False, _unique_suffix='.pid=311364', server_host='0.0.0.0', server_port=8000, num_tokenizer=0, silent_output=False, shell_mode=False, served_model_name='Qwen3.8-Flash-Next-NVFP4', tool_call_parser='qwen3_coder', reasoning_parser='qwen3', sampling_defaults='model', max_output_tokens=None, enable_cache_report=False, cors_origins='tauri://localhost,http://tauri.localhost,http://localhost:1420', gpu=('0',), gpu_assigned=None)
Sep 12 15:22:12 <host> ft[311364]: [2026-09-12|15:22:12|initializer] INFO     --gpu 0 -> GPU-<redacted>
Sep 12 15:22:12 <host> ft[311364]: [2026-09-12|15:22:12|FrontendAPI] INFO     Default sampling config (source=model): temperature=1.0, top_k=20, top_p=0.95
Sep 12 15:22:12 <host> ft[311364]: INFO:     Started server process [311364]
Sep 12 15:22:12 <host> ft[311364]: INFO:     Waiting for application startup.
Sep 12 15:22:12 <host> ft[311364]: INFO:     Application startup complete.
Sep 12 15:22:12 <host> ft[311364]: INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
Sep 12 15:22:14 <host> ft[311413]: [2026-09-12|15:22:14|core|rank=0] WARNING  Page size is overridden to 64 for the qsa_sparse backend
Sep 12 15:22:14 <host> ft[311413]: [2026-09-12|15:22:14|core|rank=0] INFO     Resolved config: moe_strategy='offload', attention_backend='qsa_sparse', cache_type='hybrid_radix', page_size=64
Sep 12 15:22:14 <host> ft[311413]: [2026-09-12|15:22:14|core|rank=0] INFO     Free memory before loading model: 30.89 GiB
Sep 12 15:22:18 <host> ft[311413]: [755B blob data]
Sep 12 15:22:44 <host> ft[311413]: [10.5K blob data]
Sep 12 15:22:44 <host> ft[311413]: [2026-09-12|15:22:44|core|rank=0] WARNING  expert banks: low free RAM -> serial build (avoids parallel-reader OOM; override with --expert-load parallel)
Sep 12 15:22:44 <host> ft[311413]: [2026-09-12|15:22:44|core|rank=0] INFO     expert banks: slow path (serial build)
Sep 12 15:24:01 <host> ft[311413]: [1K blob data]
Sep 12 15:24:01 <host> ft[311413]: [2026-09-12|15:24:01|core|rank=0] INFO     --moe-cache-auto resolved moe_cache_size=4662 num_pages=4096 (prefill_overlap=True)
Sep 12 15:24:01 <host> ft[311413]: [2026-09-12|15:24:01|core|rank=0] INFO     Allocating 262144 tokens for KV cache, K + V = 6.19 GiB
Sep 12 15:24:01 <host> ft[311413]: [2026-09-12|15:24:01|core|rank=0] INFO     qsa_sparse block top-k: triton qsa_block_topk
Sep 12 15:24:01 <host> ft[311413]: [2026-09-12|15:24:01|core|rank=0] INFO     Free memory after initialization: 1.96 GiB
Sep 12 15:24:01 <host> ft[311413]: [2026-09-12|15:24:01|core|rank=0] INFO     Start capturing CUDA graphs with sizes: [1]
Sep 12 15:24:01 <host> ft[311413]: [2026-09-12|15:24:01|core|rank=0] INFO     Free GPU memory before capturing CUDA graphs: 1.96 GiB
Sep 12 15:24:04 <host> ft[311413]: [413B blob data]
Sep 12 15:24:04 <host> ft[311413]: [2026-09-12|15:24:04|core|rank=0] INFO     Free GPU memory after capturing CUDA graphs: 1.82 GiB
Sep 12 15:24:04 <host> ft[311413]: [2026-09-12|15:24:04|core|rank=0] INFO     Scheduler is idle, waiting for new reqs...
Sep 12 15:24:04 <host> ft[311364]: [2026-09-12|15:24:04|FrontendAPI] INFO     API server is ready to serve on 0.0.0.0:8000
Sep 12 15:24:17 <host> ft[311364]: INFO:     127.0.0.1:33800 - "HEAD /metrics HTTP/1.1" 404 Not Found
Sep 12 15:24:17 <host> ft[311364]: INFO:     127.0.0.1:33800 - "GET /metrics HTTP/1.1" 404 Not Found
Sep 12 15:24:22 <host> ft[311364]: INFO:     127.0.0.1:48596 - "POST /v1/chat/completions HTTP/1.1" 200 OK
Sep 12 15:24:28 <host> ft[311413]: [2026-09-12|15:24:28|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.06, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 340.72
Sep 12 15:24:30 <host> ft[311413]: [2026-09-12|15:24:30|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.09, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3622.61
Sep 12 15:24:33 <host> ft[311413]: [2026-09-12|15:24:33|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.12, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3592.21
Sep 12 15:24:35 <host> ft[311413]: [2026-09-12|15:24:35|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.16, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3570.02
Sep 12 15:24:37 <host> ft[311413]: [2026-09-12|15:24:37|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.19, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3555.01
Sep 12 15:24:40 <host> ft[311413]: [2026-09-12|15:24:40|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.22, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3538.41
Sep 12 15:24:42 <host> ft[311413]: [2026-09-12|15:24:42|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.25, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3516.53
Sep 12 15:24:44 <host> ft[311413]: [2026-09-12|15:24:44|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.28, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3500.75
Sep 12 15:24:47 <host> ft[311413]: [2026-09-12|15:24:47|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.31, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3484.17
Sep 12 15:24:49 <host> ft[311413]: [2026-09-12|15:24:49|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.34, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3472.24
Sep 12 15:24:51 <host> ft[311413]: [2026-09-12|15:24:51|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.38, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3459.16
Sep 12 15:24:54 <host> ft[311413]: [2026-09-12|15:24:54|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.41, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3446.14
Sep 12 15:24:56 <host> ft[311413]: [2026-09-12|15:24:56|core|rank=0] INFO     Prefill batch, #new-seq: 1, #new-token: 8192, #cached-token: 0, token usage: 0.44, #mamba-slot: 3/8, mamba usage: 0.38, #running-req: 0, #queue-req: 1, input throughput (token/s): 3425.22
